conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,91E+18;Sat Apr 12 07:31:07 +0000 2025;0;@0tk0il Ga ngaruh man666 kan kita belanja pake rupiah;1,91E+18;;0tk0il;in;;0;0;0;https://x.com/kamudialabs/status/1910958847075713248;1,28E+18;kamudialabs
1,91E+18;Sat Apr 12 07:30:41 +0000 2025;0;Gila emg kaco banget rupiah ini ;1,91E+18;;;in;carat 2017;0;0;0;https://x.com/heyminwon/status/1910958738783298002;272834898;heyminwon
1,91E+18;Sat Apr 12 07:30:32 +0000 2025;2;?????????????????? ?????????????? ?????? ???????? ?????????? ???????????????????? ???????? Keluarga berperanan penting dalam membina generasi baharu yang akan mewarisi kepimpinan negara serta penyambung nilai budaya dan ketamadunan manusia. Sebagai menghargai peranan ibu bapa https://t.co/smihFTvKsG;1,91E+18;https://pbs.twimg.com/media/GoUWzECWgAACSid.jpg;;in;Malaysia;0;0;0;https://x.com/DrZahidHamidi/status/1910958697876246554;115603899;DrZahidHamidi
1,91E+18;Sat Apr 12 07:30:27 +0000 2025;0;"open cv alipay wechat pay rmb yuan rmb to idr rupiah cv dari RMB ke IDR indo bank yap rate starts 2230- 2280 under 1k 2240 up 1k 2270 up 5k 2285- 2290 alipay &amp; wechat as buyer dari alipay sendiri gajian &amp; seller jual beli (snk berlaku) proses fast &amp; no fee";1,91E+18;;;in;close sengantuknya;0;0;0;https://x.com/jihoonssswifeu/status/1910958678423068709;1,35E+18;jihoonssswifeu
1,91E+18;Sat Apr 12 07:30:12 +0000 2025;1;"4 Alokasi Modal: CapEx (ekspansi misal Holywings) R&amp;D/iklan (inovasi misal $NVDA) M&amp;A (risiko tinggi) &amp; Share Buyback/Dividen (nilai ke pemegang saham). Model Asset-Light: Efisien ekspansi minim aset (contoh: $NFLX $UBER). Holywings omset 2x lipat https://t.co/MW00oqndMj";1,91E+18;;aureolinrald;in;Indonesia;0;0;0;https://x.com/aureolinrald/status/1910958616380924122;1,23E+18;aureolinrald
1,91E+18;Sat Apr 12 07:30:10 +0000 2025;0;@daniellsinaga_ iyah pak seandainya penjurusan berdasarkan minat saja mungkin agak sedikit berbeda tapi kalau murni nilai jadinya ada pelajar kelas dua ;1,91E+18;;daniellsinaga_;in;;0;0;0;https://x.com/nanovond/status/1910958607828668906;59799195;nanovond
1,91E+18;Sat Apr 12 07:30:01 +0000 2025;0;@fmtoday Nilai ringgit merosot Rasanya ringgit makin stabil skrg ni Prestasi paling memberansangkan di rantau Asia Tenggara Penghapusan subsidi Masih ada walaun yg xleh beza hapus subsidi dgn penyasaran semula subsidi;1,91E+18;;fmtoday;in;Malaysia;0;0;0;https://x.com/zach1ZA/status/1910958570692317316;326555734;zach1ZA
1,91E+18;Sat Apr 12 07:29:26 +0000 2025;0;kali ini oke aja tp nilai ku stagnan (to inten 5-10) ga ada yg naik drastis aku pengen 80 hiks;1,91E+18;;;in;;0;0;0;https://x.com/winterivals/status/1910958422545318131;1,48E+18;winterivals
1,91E+18;Sat Apr 12 07:29:16 +0000 2025;0;Nabung emas itu ga akan bikin nambah harta nabung emas itu buat menjaga nilai harta atau buat legacy. Karna pada dasarnya value/nilai emas itu stabil. Yang ga stabil RUPIAH KITA BLOGH LAH PEMERINTAH EMOSII!!;1,91E+18;;;in;ga tau dimana;0;0;0;https://x.com/YogaDenio/status/1910958381244043570;1,22E+18;YogaDenio
1,91E+18;Sat Apr 12 07:28:43 +0000 2025;0;@TSarundengGG Warga Serang makin cerdas pasti bisa nilai sendiri #SerangBersamaAndikaNanang PemimpinBersih NggaCaweCawe;1,91E+18;;TSarundengGG;in;Central Java, Indonesia;0;0;0;https://x.com/CSilphy_/status/1910958241787630023;1,69E+18;CSilphy_
